,COVID-19,Chronic congestive heart failure (disorder),Normal pregnancy,Acute deep venous thrombosis (disorder),Acute pulmonary embolism (disorder),Hyperlipidemia,Anemia (disorder),Malignant neoplasm of breast (disorder)
COVID-19,2242,0,0,0,0,0,0,0
Chronic congestive heart failure (disorder),0,622,0,0,0,0,0,0
Normal pregnancy,0,0,64,0,0,0,0,0
Acute deep venous thrombosis (disorder),0,0,0,11,0,0,0,0
Acute pulmonary embolism (disorder),0,0,0,0,10,0,0,0
Hyperlipidemia,0,0,0,0,0,9,0,0
Anemia (disorder),0,0,0,0,0,0,3,0
Malignant neoplasm of breast (disorder),0,0,0,0,0,0,0,2
